subject_id,edit_dist,start_time_var,end_time_var,extra,agrbl,consc,neuro,open,assertive,activity,altruism,compliance,order,discipline,anxiety,depression,aesthetics,ideas
01,0.413131872291,-0.482263559791,0.188477262193,3.125,3.777777778,4.444444444,2.75,3.9,2.8,4,4,3.666666667,4,4.4,2,4.5,3.333333333,4.4
02,-0.968108271092,-1.09999786733,-0.017717482844,2.125,3,4.222222222,3.5,3.2,2,2.5,3.25,2,4.5,3.8,3.75,2.5,3.333333333,3.2
03,-2.20285324775,-0.78503507804,-1.61930779996,2.125,3.222222222,3.888888889,3.375,2.7,2.2,2,3.5,3,4,3.8,3.5,3.5,2.333333333,2.8
04,1.71066049183,-1.37675897425,-1.27173415422,2.375,3.111111111,2.666666667,4.125,2.9,1.8,4,3.5,2.666666667,2,2.8,4.5,3,3.666666667,2.6
05,0.89447313438,-0.943369714588,0.465317279315,3.125,3.777777778,4.444444444,2.75,3.3,2.6,4,3.75,4,5,4.2,2.75,2.5,3,3.6
07,0.601482800935,-0.587763816073,-0.376535972818,3.125,4.222222222,3.777777778,,2.3,3.4,2.5,4.5,4,4,3.4,2,,1.666666667,2.8
08,0.287564586529,-0.461907048077,-0.474763852986,2.625,3.777777778,4.222222222,3.25,3.3,2.2,3,3.75,3.333333333,3,4.4,3.25,3.5,1.666666667,4
09,0.182925181728,-0.586380403938,-0.326494792409,2.375,4.555555556,2.666666667,2.125,3.3,1.8,3.5,4.5,5,2,2.6,2.5,1.5,2.666666667,3.6
10,-0.737901580528,-1.44792115162,-0.346813574825,2,1.333333333,4.777777778,3.375,3.6,1.8,3,1.5,1.333333333,4.5,4.8,3.25,4,3,3.8
14,1.89901142048,0.345387129398,-0.652402248602,3.25,3.666666667,,,3.3,2.6,4,3.75,3.333333333,2.5,,,2,3,3.4
15,-0.591406413806,2.09327428325,-0.976079105956,3.25,3.555555556,3.111111111,2.75,3,3.2,3,3.5,4.333333333,2,3.2,2.75,2.5,2.666666667,3
16,-0.654190056687,-0.59484570118,-0.504576019976,1.75,3.333333333,3.555555556,4.25,3.8,1,3,2.75,3.666666667,3,3.6,4.25,4,3.666666667,3.6
17,-0.507694889964,-0.910322324446,0.00785132598952,2.625,3.888888889,3.333333333,3.125,4.5,2.4,3,4.5,2.666666667,1.5,3.8,2.75,4,5,4
18,0.517771277093,0.629543900563,-0.719052938409,2.625,2.222222222,3.222222222,3.75,2.5,2.6,2.5,2,2,3,3.4,3.25,4.5,1.666666667,2.8
19,-0.591406413806,-0.488239430434,0.112362631569,1.75,3.111111111,3.444444444,3.625,3.2,1.2,3,2.75,3.333333333,2.5,3.6,3.75,3.5,3,3.2
20,-0.821613104369,0.864549811964,2.53067963276,3.875,4.333333333,3.333333333,2.375,3.6,3.8,3.5,4.5,4.333333333,3.5,3.2,2.5,2,3.333333333,3.2
22,0.120141538846,0.187333941824,2.28943600102,3.625,3.444444444,4.555555556,2.875,3.8,3,5,3.5,3.666666667,3.5,4.8,2.75,2.5,2,4.6
23,-1.40759377126,0.666119614089,-0.975954561723,,3.666666667,3,3.75,3.6,,3.5,4.25,3,2.5,2.8,3.5,4,3.666666667,3.4
24,-0.0472815088364,0.158056647375,0.523395879275,3.5,2.666666667,2.333333333,3.125,3.5,3.4,3.5,2.75,2.333333333,2,2,3.5,2.5,2.666666667,3.8
27,-1.21924284262,1.47439316299,0.177653814011,2.5,3.888888889,2.666666667,3.125,3.3,2.2,3,3.5,4.333333333,2,3,3.25,3,3.666666667,3.2
30,0.831689491498,-1.12177903026,-1.23362925553,4.5,4.111111111,4.444444444,2,3.6,4.4,4.5,4,4.333333333,4,4.6,2.25,1.5,3.333333333,3.8
32,2.00365082528,-0.0332866726364,1.93308993358,4.25,4.222222222,4.333333333,1.75,3.7,3.8,5,4.25,4,4.5,4,2,1.5,2.666666667,4.2
33,-0.926252509171,1.21065577148,0.667657264971,2.875,3.333333333,1.888888889,3.625,4.6,2.6,3,3.5,3.333333333,1.5,1.6,3.5,4,4.666666667,4.4
35,-0.382127604202,-0.574275680055,0.822557610051,2.625,3.888888889,3.555555556,2.625,3.4,2.4,3.5,3.75,4,4,3.4,2.5,2,2.666666667,3.6
43,0.392203991331,1.04950824741,-0.013673476881,2.375,4.111111111,4.222222222,2.5,3.3,1.8,4,3.75,4.666666667,3,4.8,2.25,2.5,2.333333333,3.8
