subject_id,gps_edit_dist,extra,agrbl,consc,neuro,open,assertive,activity,altruism,compliance,order,discipline,anxiety,depression,aesthetics,ideas
00,0.317481439766,3.75,2.888888889,3,3.125,4.5,3.2,4.5,3,3,2.5,3.4,3,3.5,4,4.8
01,0.0402571700089,3.125,3.777777778,4.444444444,2.75,3.9,2.8,4,4,3.666666667,4,4.4,2,4.5,3.333333333,4.4
02,-0.3258380379,2.125,3,4.222222222,3.5,3.2,2,2.5,3.25,2,4.5,3.8,3.75,2.5,3.333333333,3.2
03,0.382649616347,2.125,3.222222222,3.888888889,3.375,2.7,2.2,2,3.5,3,4,3.8,3.5,3.5,2.333333333,2.8
04,0.196949148567,2.375,3.111111111,2.666666667,4.125,2.9,1.8,4,3.5,2.666666667,2,2.8,4.5,3,3.666666667,2.6
05,1.05362712176,3.125,3.777777778,4.444444444,2.75,3.3,2.6,4,3.75,4,5,4.2,2.75,2.5,3,3.6
07,0.830752919032,3.125,4.222222222,3.777777778,,2.3,3.4,2.5,4.5,4,4,3.4,2,,1.666666667,2.8
08,2.20534007727,2.625,3.777777778,4.222222222,3.25,3.3,2.2,3,3.75,3.333333333,3,4.4,3.25,3.5,1.666666667,4
09,0.269331961334,2.375,4.555555556,2.666666667,2.125,3.3,1.8,3.5,4.5,5,2,2.6,2.5,1.5,2.666666667,3.6
10,-0.286498859857,2,1.333333333,4.777777778,3.375,3.6,1.8,3,1.5,1.333333333,4.5,4.8,3.25,4,3,3.8
12,0.0278771388235,2.875,3.555555556,3.666666667,2.875,3.4,2.4,3.5,3.5,3.666666667,2.5,4,2.75,2.5,2,4
13,-1.13938294436,3.375,3.555555556,2.444444444,3.375,4.3,3,4,4.25,3,1,3,3.25,3.5,3.333333333,4.6
14,0.459351983473,3.25,3.666666667,,,3.3,2.6,4,3.75,3.333333333,2.5,,,2,3,3.4
16,1.34497748668,1.75,3.333333333,3.555555556,4.25,3.8,1,3,2.75,3.666666667,3,3.6,4.25,4,3.666666667,3.6
17,-1.34497989083,2.625,3.888888889,3.333333333,3.125,4.5,2.4,3,4.5,2.666666667,1.5,3.8,2.75,4,5,4
18,-0.609771361823,2.625,2.222222222,3.222222222,3.75,2.5,2.6,2.5,2,2,3,3.4,3.25,4.5,1.666666667,2.8
19,-0.0210470527395,1.75,3.111111111,3.444444444,3.625,3.2,1.2,3,2.75,3.333333333,2.5,3.6,3.75,3.5,3,3.2
20,0.788609111499,3.875,4.333333333,3.333333333,2.375,3.6,3.8,3.5,4.5,4.333333333,3.5,3.2,2.5,2,3.333333333,3.2
22,-0.457039455353,3.625,3.444444444,4.555555556,2.875,3.8,3,5,3.5,3.666666667,3.5,4.8,2.75,2.5,2,4.6
27,0.7819536812,2.5,3.888888889,2.666666667,3.125,3.3,2.2,3,3.5,4.333333333,2,3,3.25,3,3.666666667,3.2
30,1.97213911823,4.5,4.111111111,4.444444444,2,3.6,4.4,4.5,4,4.333333333,4,4.6,2.25,1.5,3.333333333,3.8
31,0.567292783326,4.25,3.888888889,2.888888889,3.125,3.7,4.6,3,4.5,3,2,3,3.25,3.5,3.666666667,3.8
32,1.55106311859,4.25,4.222222222,4.333333333,1.75,3.7,3.8,5,4.25,4,4.5,4,2,1.5,2.666666667,4.2
33,-1.18801878116,2.875,3.333333333,1.888888889,3.625,4.6,2.6,3,3.5,3.333333333,1.5,1.6,3.5,4,4.666666667,4.4
35,-0.957623325019,2.625,3.888888889,3.555555556,2.625,3.4,2.4,3.5,3.75,4,4,3.4,2.5,2,2.666666667,3.6
36,-0.733052635102,3.5,4.111111111,3.777777778,1.75,3.5,3.2,4,4.25,4.333333333,3.5,4,1.75,1.5,3,3.6
42,-1.26075146438,3.125,4.222222222,2.444444444,2.5,3.9,2.8,4,3.75,5,2,2.2,2.25,3,3.666666667,4
44,-0.326943397827,3.375,3.666666667,3.777777778,2.25,3.6,3,4,3.75,4,3.5,3.8,2.25,1.5,3,3.8
50,-1.23796941451,3.875,3.333333333,3.555555556,2.5,3.5,3.6,4,3.25,3.333333333,3.5,3.4,2.25,3,3.333333333,3.6
51,-1.09737926713,3.375,3.777777778,3.777777778,2.75,4,3.2,3.5,4,3.333333333,3.5,3.8,3,2.5,4,4
52,0.357274397147,1.625,3.333333333,2.222222222,4.125,3.5,1,3.5,2.5,4,3,1.8,4,4.5,1.666666667,4.2
53,-1.17339401905,2.25,4,2.888888889,4.5,4.4,2.2,2,3.75,4.333333333,1,3.2,4.75,4,5,4
56,-1.29490878668,1.625,4.111111111,3.333333333,2,4.1,1.4,2,3.75,4.666666667,2,3.6,2,2,3.666666667,4.4
57,0.927640119613,2.125,4,3.222222222,2.125,2.7,1.6,3.5,3.75,4.333333333,2.5,3.4,2,2,3,2.4
58,-1.66929249349,2.125,4.333333333,3.555555556,3.875,3.6,1.8,3.5,4.25,4.333333333,4,3.4,4.25,3.5,4.666666667,3
