subject_id,home;53_commons;home,extra,agrbl,consc,neuro,open,assertive,activity,altruism,compliance,order,discipline,anxiety,depression,aesthetics,ideas
01,-0.594330684735,3.125,3.777777778,4.444444444,2.75,3.9,2.8,4,4,3.666666667,4,4.4,2,4.5,3.333333333,4.4
02,-0.312805623545,2.125,3,4.222222222,3.5,3.2,2,2.5,3.25,2,4.5,3.8,3.75,2.5,3.333333333,3.2
03,-0.875855745926,2.125,3.222222222,3.888888889,3.375,2.7,2.2,2,3.5,3,4,3.8,3.5,3.5,2.333333333,2.8
04,-0.312805623545,2.375,3.111111111,2.666666667,4.125,2.9,1.8,4,3.5,2.666666667,2,2.8,4.5,3,3.666666667,2.6
05,-0.0312805623545,3.125,3.777777778,4.444444444,2.75,3.3,2.6,4,3.75,4,5,4.2,2.75,2.5,3,3.6
07,0.531769560026,3.125,4.222222222,3.777777778,,2.3,3.4,2.5,4.5,4,4,3.4,2,,1.666666667,2.8
08,-0.594330684735,2.625,3.777777778,4.222222222,3.25,3.3,2.2,3,3.75,3.333333333,3,4.4,3.25,3.5,1.666666667,4
09,1.3763447436,2.375,4.555555556,2.666666667,2.125,3.3,1.8,3.5,4.5,5,2,2.6,2.5,1.5,2.666666667,3.6
10,-0.594330684735,2,1.333333333,4.777777778,3.375,3.6,1.8,3,1.5,1.333333333,4.5,4.8,3.25,4,3,3.8
14,-0.312805623545,3.25,3.666666667,,,3.3,2.6,4,3.75,3.333333333,2.5,,,2,3,3.4
15,-0.594330684735,3.25,3.555555556,3.111111111,2.75,3,3.2,3,3.5,4.333333333,2,3.2,2.75,2.5,2.666666667,3
16,0.531769560026,1.75,3.333333333,3.555555556,4.25,3.8,1,3,2.75,3.666666667,3,3.6,4.25,4,3.666666667,3.6
17,-0.875855745926,2.625,3.888888889,3.333333333,3.125,4.5,2.4,3,4.5,2.666666667,1.5,3.8,2.75,4,5,4
18,0.531769560026,2.625,2.222222222,3.222222222,3.75,2.5,2.6,2.5,2,2,3,3.4,3.25,4.5,1.666666667,2.8
19,-0.875855745926,1.75,3.111111111,3.444444444,3.625,3.2,1.2,3,2.75,3.333333333,2.5,3.6,3.75,3.5,3,3.2
20,-0.0312805623545,3.875,4.333333333,3.333333333,2.375,3.6,3.8,3.5,4.5,4.333333333,3.5,3.2,2.5,2,3.333333333,3.2
22,3.62854523312,3.625,3.444444444,4.555555556,2.875,3.8,3,5,3.5,3.666666667,3.5,4.8,2.75,2.5,2,4.6
23,-0.312805623545,,3.666666667,3,3.75,3.6,,3.5,4.25,3,2.5,2.8,3.5,4,3.666666667,3.4
24,1.65786980479,3.5,2.666666667,2.333333333,3.125,3.5,3.4,3.5,2.75,2.333333333,2,2,3.5,2.5,2.666666667,3.8
27,-0.594330684735,2.5,3.888888889,2.666666667,3.125,3.3,2.2,3,3.5,4.333333333,2,3,3.25,3,3.666666667,3.2
30,0.531769560026,4.5,4.111111111,4.444444444,2,3.6,4.4,4.5,4,4.333333333,4,4.6,2.25,1.5,3.333333333,3.8
32,1.09481968241,4.25,4.222222222,4.333333333,1.75,3.7,3.8,5,4.25,4,4.5,4,2,1.5,2.666666667,4.2
33,-0.875855745926,2.875,3.333333333,1.888888889,3.625,4.6,2.6,3,3.5,3.333333333,1.5,1.6,3.5,4,4.666666667,4.4
35,-0.312805623545,2.625,3.888888889,3.555555556,2.625,3.4,2.4,3.5,3.75,4,4,3.4,2.5,2,2.666666667,3.6
43,-0.0312805623545,2.375,4.111111111,4.222222222,2.5,3.3,1.8,4,3.75,4.666666667,3,4.8,2.25,2.5,2.333333333,3.8
