uid,days_oncampus,views_oncampus,contributions_oncampus,questions_oncampus,notes_oncampus,answers_oncampus,extra,agrbl,consc,neuro,openn
01,-1.063,0.928,-0.602,-0.560,0.600,-0.622,3.125,3.778,4.444,2.750,3.900
02,0.543,0.928,-1.049,-0.740,-0.480,-0.622,2.125,3.000,4.222,3.500,3.200
03,-0.030,0.375,1.636,1.960,1.679,2.120,2.125,3.222,3.889,3.375,2.700
04,-1.177,-2.027,-0.960,-0.560,-0.480,-0.622,2.375,3.111,2.667,4.125,2.900
05,1.117,0.957,-0.960,-0.740,-0.480,-0.622,3.125,3.778,4.444,2.750,3.300
07,-0.260,-0.535,0.025,-0.560,-0.480,-0.622,3.125,4.222,3.778,2.143,2.300
08,1.117,1.062,2.979,3.219,-0.480,1.663,2.625,3.778,4.222,3.250,3.300
09,-0.661,-0.982,0.741,-0.020,2.759,1.206,2.375,4.556,2.667,2.125,3.300
10,1.977,0.942,1.278,1.240,-0.480,0.749,2.000,1.333,4.778,3.375,3.600
14,-0.718,0.331,0.383,1.600,0.600,-0.622,3.250,3.667,3.375,2.429,3.300
15,-0.546,-0.743,-0.602,-0.560,-0.480,-0.622,3.250,3.556,3.111,2.750,3.000
16,-0.374,-0.535,-0.781,-0.740,-0.480,-0.622,1.750,3.333,3.556,4.250,3.800
17,0.543,1.032,1.278,1.240,1.679,1.206,2.625,3.889,3.333,3.125,4.500
18,0.027,0.614,-0.512,-0.200,0.600,-0.622,2.625,2.222,3.222,3.750,2.500
19,1.289,0.957,0.741,-0.020,-0.480,2.120,1.750,3.111,3.444,3.625,3.200
20,0.887,-0.833,-0.870,-0.740,-0.480,-0.622,3.875,4.333,3.333,2.375,3.600
22,0.945,-0.162,0.204,-0.020,-0.480,-0.165,3.625,3.444,4.556,2.875,3.800
23,1.059,-0.162,-0.870,-0.740,-0.480,-0.622,3.000,3.667,3.000,3.750,3.600
24,-1.177,-1.310,-0.691,-0.740,-0.480,-0.622,3.500,2.667,2.333,3.125,3.500
27,1.059,0.928,-0.423,-0.560,-0.480,-0.165,2.500,3.889,2.667,3.125,3.300
30,0.601,0.853,1.010,0.700,-0.480,-0.165,4.500,4.111,4.444,2.000,3.600
32,0.199,0.928,-0.602,-0.380,-0.480,-0.622,4.250,4.222,4.333,1.750,3.700
33,-0.489,0.793,1.457,-0.380,3.838,-0.165,2.875,3.333,1.889,3.625,4.600
35,-1.980,-2.131,-1.049,-0.740,-0.480,-0.622,2.625,3.889,3.556,2.625,3.400
43,-0.260,0.301,1.368,1.600,-0.480,-0.622,2.375,4.111,4.222,2.500,3.300
46,1.174,0.972,0.204,0.520,-0.480,-0.165,3.125,3.111,3.556,3.500,4.200
49,0.715,0.107,-0.154,-0.200,0.600,-0.165,2.875,4.222,3.667,2.500,4.300
50,-1.923,-1.743,-0.154,-0.740,-0.480,3.492,3.875,3.333,3.556,2.500,3.500
52,-0.317,-0.430,-1.049,-0.740,-0.480,-0.622,1.625,3.333,2.222,4.125,3.500
53,-0.432,0.823,-1.049,-0.740,-0.480,-0.622,2.250,4.000,2.889,4.500,4.400
54,-0.833,-1.340,-0.781,-0.560,-0.480,-0.622,3.000,3.333,3.111,2.750,3.100
57,0.142,0.928,0.473,-0.200,0.600,0.749,2.125,4.000,3.222,2.125,2.700
58,-1.579,-1.519,-0.870,-0.740,-0.480,-0.622,2.125,4.333,3.556,3.875,3.600
59,0.486,0.972,-0.154,-0.380,-0.480,-0.165,4.000,4.111,2.556,2.875,3.500
