uid,fp_north-park,extra,agrbl,consc,neuro,openn
00,-0.564,3.750,2.889,3.000,3.125,4.500
01,-0.564,3.125,3.778,4.444,2.750,3.900
02,-0.564,2.125,3.000,4.222,3.500,3.200
03,2.424,2.125,3.222,3.889,3.375,2.700
04,-0.564,2.375,3.111,2.667,4.125,2.900
05,-0.415,3.125,3.778,4.444,2.750,3.300
07,-0.116,3.125,4.222,3.778,2.143,2.300
08,-0.564,2.625,3.778,4.222,3.250,3.300
09,-0.564,2.375,4.556,2.667,2.125,3.300
10,-0.564,2.000,1.333,4.778,3.375,3.600
12,-0.415,2.875,3.556,3.667,2.875,3.400
13,-0.265,3.375,3.556,2.444,3.375,4.300
14,-0.564,3.250,3.667,3.375,2.429,3.300
15,-0.265,3.250,3.556,3.111,2.750,3.000
16,-0.415,1.750,3.333,3.556,4.250,3.800
17,-0.564,2.625,3.889,3.333,3.125,4.500
18,-0.564,2.625,2.222,3.222,3.750,2.500
19,-0.564,1.750,3.111,3.444,3.625,3.200
20,2.424,3.875,4.333,3.333,2.375,3.600
22,-0.564,3.625,3.444,4.556,2.875,3.800
23,2.424,3.000,3.667,3.000,3.750,3.600
24,-0.564,3.500,2.667,2.333,3.125,3.500
27,-0.564,2.500,3.889,2.667,3.125,3.300
30,0.781,4.500,4.111,4.444,2.000,3.600
31,-0.415,4.250,3.889,2.889,3.125,3.700
32,-0.415,4.250,4.222,4.333,1.750,3.700
33,-0.564,2.875,3.333,1.889,3.625,4.600
34,0.930,3.250,4.333,3.111,2.875,3.300
35,2.275,2.625,3.889,3.556,2.625,3.400
36,-0.265,3.500,4.111,3.778,1.750,3.500
39,-0.564,3.375,3.333,3.111,3.000,3.500
42,0.332,3.125,4.222,2.444,2.500,3.900
43,-0.564,2.375,4.111,4.222,2.500,3.300
44,-0.415,3.375,3.667,3.778,2.250,3.600
45,0.183,3.750,3.667,3.444,3.125,3.700
46,-0.415,3.125,3.111,3.556,3.500,4.200
47,-0.415,4.375,3.222,3.444,2.000,3.800
49,-0.564,2.875,4.222,3.667,2.500,4.300
50,1.827,3.875,3.333,3.556,2.500,3.500
51,-0.265,3.375,3.778,3.778,2.750,4.000
52,-0.564,1.625,3.333,2.222,4.125,3.500
53,2.424,2.250,4.000,2.889,4.500,4.400
54,-0.564,3.000,3.333,3.111,2.750,3.100
56,-0.564,1.625,4.111,3.333,2.000,4.100
57,-0.564,2.125,4.000,3.222,2.125,2.700
58,2.424,2.125,4.333,3.556,3.875,3.600
59,-0.564,4.000,4.111,2.556,2.875,3.500
