uid,nearby_entropy,extra,agrbl,consc,neuro,openn
00,1.357,3.750,2.889,3.000,3.125,4.500
01,-0.012,3.125,3.778,4.444,2.750,3.900
02,0.633,2.125,3.000,4.222,3.500,3.200
03,-1.825,2.125,3.222,3.889,3.375,2.700
04,0.927,2.375,3.111,2.667,4.125,2.900
05,0.648,3.125,3.778,4.444,2.750,3.300
07,-1.294,3.125,4.222,3.778,2.143,2.300
08,1.205,2.625,3.778,4.222,3.250,3.300
09,0.896,2.375,4.556,2.667,2.125,3.300
10,1.708,2.000,1.333,4.778,3.375,3.600
12,0.791,2.875,3.556,3.667,2.875,3.400
13,-0.774,3.375,3.556,2.444,3.375,4.300
14,-0.083,3.250,3.667,3.375,2.429,3.300
15,1.051,3.250,3.556,3.111,2.750,3.000
16,0.659,1.750,3.333,3.556,4.250,3.800
17,0.858,2.625,3.889,3.333,3.125,4.500
18,-0.273,2.625,2.222,3.222,3.750,2.500
19,0.642,1.750,3.111,3.444,3.625,3.200
20,-1.802,3.875,4.333,3.333,2.375,3.600
22,0.102,3.625,3.444,4.556,2.875,3.800
23,-1.424,3.000,3.667,3.000,3.750,3.600
24,-0.658,3.500,2.667,2.333,3.125,3.500
27,0.763,2.500,3.889,2.667,3.125,3.300
30,1.226,4.500,4.111,4.444,2.000,3.600
31,-0.071,4.250,3.889,2.889,3.125,3.700
32,0.472,4.250,4.222,4.333,1.750,3.700
33,-1.901,2.875,3.333,1.889,3.625,4.600
34,-0.215,3.250,4.333,3.111,2.875,3.300
35,-1.629,2.625,3.889,3.556,2.625,3.400
36,-0.879,3.500,4.111,3.778,1.750,3.500
39,-2.649,3.375,3.333,3.111,3.000,3.500
42,-0.393,3.125,4.222,2.444,2.500,3.900
43,1.204,2.375,4.111,4.222,2.500,3.300
44,-0.154,3.375,3.667,3.778,2.250,3.600
45,0.163,3.750,3.667,3.444,3.125,3.700
46,0.297,3.125,3.111,3.556,3.500,4.200
47,-0.166,4.375,3.222,3.444,2.000,3.800
49,0.253,2.875,4.222,3.667,2.500,4.300
50,-0.731,3.875,3.333,3.556,2.500,3.500
51,-0.313,3.375,3.778,3.778,2.750,4.000
52,0.672,1.625,3.333,2.222,4.125,3.500
53,-0.369,2.250,4.000,2.889,4.500,4.400
54,1.373,3.000,3.333,3.111,2.750,3.100
56,-1.814,1.625,4.111,3.333,2.000,4.100
57,0.037,2.125,4.000,3.222,2.125,2.700
58,0.507,2.125,4.333,3.556,3.875,3.600
59,0.293,4.000,4.111,2.556,2.875,3.500
